Name,VRM_Category__c,VRM_SubCategory__c,VRM_Failure_Resolution_Code__c,WOD_2__Status__c,VRM_External_Id__c
FaultCode312,Corner,Corner Spans and Overhangs,Hole in Pipe-Weld In Field-1hr,Active,Corner-Corner Spans and Overhangs-Hole in Pipe-Weld In Field-1hr
FaultCode313,Corner,Corner Spans and Overhangs,Mis-manufactured-Replace Component-1hr,Active,Corner-Corner Spans and Overhangs-Mis-manufactured-Replace Component-1hr
FaultCode314,Corner,Corner Spans and Overhangs,Other -- Fill in Comments-Replace Component-1hr,Active,Corner-Corner Spans and Overhangs-Other - Fill in Comments-Replace Component-1hr
FaultCode315,Corner,Corner Spans and Overhangs,Part Dimensions Incorrect-Replace Component-1hr,Active,Corner-Corner Spans and Overhangs-Part Dimensions Incorrect-Replace Component-1hr
FaultCode316,Corner,Corner Spans and Overhangs,Plug Removal-Remove Plugs-2hr,Active,Corner-Corner Spans and Overhangs-Plug Removal-Remove Plugs-2hr
FaultCode317,Corner,Corner Spans and Overhangs,Seam Split-Replace Component-1hr,Active,Corner-Corner Spans and Overhangs-Seam Split-Replace Component-1hr
FaultCode318,Corner,Corner Spans and Overhangs,Seam Split-Weld In Field-1hr,Active,Corner-Corner Spans and Overhangs-Seam Split-Weld In Field-1hr
FaultCode319,Corner,Corner Spans and Overhangs,Shipment Damage-Replace Component-0hr,Active,Corner-Corner Spans and Overhangs-Shipment Damage-Replace Component-0hr
FaultCode320,Corner,Corner Spans and Overhangs,Weld Failure-Replace Component-1hr,Active,Corner-Corner Spans and Overhangs-Weld Failure-Replace Component-1hr
FaultCode321,Corner,Corner Spans and Overhangs,Weld Failure-Weld In Field-1hr,Active,Corner-Corner Spans and Overhangs-Weld Failure-Weld In Field-1hr
FaultCode322,Corner,Corner Spans and Overhangs,Weld Missing-Replace Component-1hr,Active,Corner-Corner Spans and Overhangs-Weld Missing-Replace Component-1hr
FaultCode323,Corner,Corner Spans and Overhangs,Weld Missing-Weld In Field-1hr,Active,Corner-Corner Spans and Overhangs-Weld Missing-Weld In Field-1hr
FaultCode324,Corner,Corner Upgrade,Other -- Fill in Comments-Replace Component-1hr,Active,Corner-Corner Upgrade-Other - Fill in Comments-Replace Component-1hr
FaultCode325,Corner,Corner Upgrade,Shipment Damage-Replace Component-0hr,Active,Corner-Corner Upgrade-Shipment Damage-Replace Component-0hr
FaultCode326,Corner,Corner Upgrade,Mis-manufactured-Replace Component-1hr,Active,Corner-Corner Upgrade-Mis-manufactured-Replace Component-1hr
FaultCode327,Corner,Encompass,Coil Failure-Replace Component-1hr,Active,Corner-Encompass-Coil Failure-Replace Component-1hr
FaultCode328,Corner,Encompass,Leaking-Replace Component-1hr,Active,Corner-Encompass-Leaking-Replace Component-1hr
FaultCode329,Corner,Encompass,Other -- Fill in Comments-Replace Component-1hr,Active,Corner-Encompass-Other - Fill in Comments-Replace Component-1hr
FaultCode330,Corner,Encompass,Shipment Damage-Replace Component-0hr,Active,Corner-Encompass-Shipment Damage-Replace Component-0hr
FaultCode331,Corner,Encompass,Won't close-Replace Component-1hr,Active,Corner-Encompass-Won't close-Replace Component-1hr
FaultCode332,Corner,GPS Guidance,Cable End Failure-Replace Component-1hr,Active,Corner-GPS Guidance-Cable End Failure-Replace Component-1hr
FaultCode333,Corner,GPS Guidance,Excessive Steering-Replace Component-1.5hr,Active,Corner-GPS Guidance-Excessive Steering-Replace Component-1.5hr
FaultCode334,Corner,GPS Guidance,Incorrect Resistance Reading-Replace Component-1.5hr,Active,Corner-GPS Guidance-Incorrect Resistance Reading-Replace Component-1.5hr
FaultCode335,Corner,GPS Guidance,Other -- Fill in Comments-Replace Component-1hr,Active,Corner-GPS Guidance-Other - Fill in Comments-Replace Component-1hr
FaultCode336,Corner,GPS Guidance,Shipment Damage-Replace Component-0hr,Active,Corner-GPS Guidance-Shipment Damage-Replace Component-0hr
FaultCode337,Corner,GPS Guidance,Signal Weak-Replace Component-1hr,Active,Corner-GPS Guidance-Signal Weak-Replace Component-1hr
FaultCode338,Corner,GPS Guidance,Won't Break Safety-Replace Component-1hr,Active,Corner-GPS Guidance-Won't Break Safety-Replace Component-1hr
FaultCode339,Corner,GPS Guidance,Won't Hold Safety-Replace Component-1hr,Active,Corner-GPS Guidance-Won't Hold Safety-Replace Component-1hr
FaultCode340,Corner,GPS Guidance,Won't Steer Forward-Replace Component-1.5hr,Active,Corner-GPS Guidance-Won't Steer Forward-Replace Component-1.5hr
FaultCode341,Corner,GPS Guidance,Won't Steer Reverse-Replace Component-1.5hr,Active,Corner-GPS Guidance-Won't Steer Reverse-Replace Component-1.5hr
FaultCode342,Corner,LRDU,Factory Wiring Incorrect-Repair Wiring-1hr,Active,Corner-LRDU-Factory Wiring Incorrect-Repair Wiring-1hr
FaultCode343,Corner,LRDU,Finish Appearance Faulty-Replace Component-1hr,Active,Corner-LRDU-Finish Appearance Faulty-Replace Component-1hr
FaultCode344,Corner,LRDU,Flanges not Square-Replace Component-1hr,Active,Corner-LRDU-Flanges not Square-Replace Component-1hr
FaultCode345,Corner,LRDU,Flanges Out of Time-Replace Component-1hr,Active,Corner-LRDU-Flanges Out of Time-Replace Component-1hr
FaultCode346,Corner,LRDU,Galvanizing Bare Spots-Replace Component-1hr,Active,Corner-LRDU-Galvanizing Bare Spots-Replace Component-1hr
FaultCode347,Corner,LRDU,Galvanizing Excessive-Replace Component-1hr,Active,Corner-LRDU-Galvanizing Excessive-Replace Component-1hr
FaultCode348,Corner,LRDU,Hose Pulled off-Replace Component-1hr,Active,Corner-LRDU-Hose Pulled off-Replace Component-1hr
FaultCode349,Corner,LRDU,Hose Split-Replace Component-1hr,Active,Corner-LRDU-Hose Split-Replace Component-1hr
FaultCode350,Corner,LRDU,Insufficient Clamping Force-Replace Component-2hr,Active,Corner-LRDU-Insufficient Clamping Force-Replace Component-2hr
FaultCode351,Corner,LRDU,Mis-manufactured-Replace Component-1hr,Active,Corner-LRDU-Mis-manufactured-Replace Component-1hr
FaultCode352,Corner,LRDU,Other -- Fill in Comments-Replace Component-1hr,Active,Corner-LRDU-Other - Fill in Comments-Replace Component-1hr
FaultCode353,Corner,LRDU,Part Dimensions Incorrect-Replace Component-1hr,Active,Corner-LRDU-Part Dimensions Incorrect-Replace Component-1hr
FaultCode354,Corner,LRDU,Shipment Damage-Replace Component-0hr,Active,Corner-LRDU-Shipment Damage-Replace Component-0hr
FaultCode355,Corner,LRDU,Ultraviolet Degradation-Replace Component-1hr,Active,Corner-LRDU-Ultraviolet Degradation-Replace Component-1hr
FaultCode356,Corner,LRDU,Weld Missing-Replace Component-1hr,Active,Corner-LRDU-Weld Missing-Replace Component-1hr
FaultCode357,Corner,LRDU,Weld Missing-Weld In Field-1hr,Active,Corner-LRDU-Weld Missing-Weld In Field-1hr
FaultCode358,Corner,Sprinkler,Factory Wiring Incorrect-Repair Wiring-1hr,Active,Corner-Sprinkler-Factory Wiring Incorrect-Repair Wiring-1hr
FaultCode359,Corner,Sprinkler,Other -- Fill in Comments-Replace Component-1hr,Active,Corner-Sprinkler-Other - Fill in Comments-Replace Component-1hr
FaultCode360,Corner,Sprinkler,Shipment Damage-Replace Component-0hr,Active,Corner-Sprinkler-Shipment Damage-Replace Component-0hr
FaultCode361,Corner,Steerable Drive Unit,Aluminum Casting Failure-Replace Component-1hr,Active,Corner-Steerable Drive Unit-Aluminum Casting Failure-Replace Component-1hr
FaultCode362,Corner,Steerable Drive Unit,Bearing Race Missing-Replace Steering Gearbox-4hr,Active,Corner-Steerable Drive Unit-Bearing Race Missing-Replace Steering Gearbox-4hr
FaultCode363,Corner,Steerable Drive Unit,Bull Gear Broken-Replace Steering Gearbox-4hr,Active,Corner-Steerable Drive Unit-Bull Gear Broken-Replace Steering Gearbox-4hr
FaultCode364,Corner,Steerable Drive Unit,Calibration changed/out of spec-Replace Component-1hr,Active,Corner-Steerable Drive Unit-Calibration changed/out of spec-Replace Component-1hr
FaultCode365,Corner,Steerable Drive Unit,Case Broken-Replace Steering Gearbox-4hr,Active,Corner-Steerable Drive Unit-Case Broken-Replace Steering Gearbox-4hr
FaultCode366,Corner,Steerable Drive Unit,Charred Failure Both Ends-Replace Component-1.5hr,Active,Corner-Steerable Drive Unit-Charred Failure Both Ends-Replace Component-1.5hr
FaultCode367,Corner,Steerable Drive Unit,Charred Failure one end-Replace Component-1.5hr,Active,Corner-Steerable Drive Unit-Charred Failure one end-Replace Component-1.5hr
FaultCode368,Corner,Steerable Drive Unit,Contact Points Burned-Replace Component-1hr,Active,Corner-Steerable Drive Unit-Contact Points Burned-Replace Component-1hr
FaultCode369,Corner,Steerable Drive Unit,Contact Points Damaged-Replace Component-1hr,Active,Corner-Steerable Drive Unit-Contact Points Damaged-Replace Component-1hr
FaultCode370,Corner,Steerable Drive Unit,Control Bearing Seized-Replace Tower Box-1hr,Active,Corner-Steerable Drive Unit-Control Bearing Seized-Replace Tower Box-1hr
FaultCode371,Corner,Steerable Drive Unit,Electrical Specs Not Met-Replace Component-1hr,Active,Corner-Steerable Drive Unit-Electrical Specs Not Met-Replace Component-1hr
FaultCode372,Corner,Steerable Drive Unit,Factory Wiring Incorrect-Repair Wiring-1hr,Active,Corner-Steerable Drive Unit-Factory Wiring Incorrect-Repair Wiring-1hr
FaultCode373,Corner,Steerable Drive Unit,Factory Wiring Loose-Repair Wiring-1hr,Active,Corner-Steerable Drive Unit-Factory Wiring Loose-Repair Wiring-1hr
FaultCode374,Corner,Steerable Drive Unit,Finish Appearance Faulty-Replace Component-1hr,Active,Corner-Steerable Drive Unit-Finish Appearance Faulty-Replace Component-1hr
FaultCode375,Corner,Steerable Drive Unit,Flanges not Square-Replace Component-1hr,Active,Corner-Steerable Drive Unit-Flanges not Square-Replace Component-1hr
FaultCode376,Corner,Steerable Drive Unit,Flanges Out of Time-Replace Component-1hr,Active,Corner-Steerable Drive Unit-Flanges Out of Time-Replace Component-1hr
FaultCode377,Corner,Steerable Drive Unit,Flex Joint Insert Failure-Replace Component-0.25hr,Active,Corner-Steerable Drive Unit-Flex Joint Insert Failure-Replace Component-0.25hr
FaultCode378,Corner,Steerable Drive Unit,Galvanizing Bare Spots-Replace Component-1hr,Active,Corner-Steerable Drive Unit-Galvanizing Bare Spots-Replace Component-1hr
FaultCode379,Corner,Steerable Drive Unit,Galvanizing Excessive-Replace Component-1hr,Active,Corner-Steerable Drive Unit-Galvanizing Excessive-Replace Component-1hr
FaultCode380,Corner,Steerable Drive Unit,Gears Locked Up-Replace Component-2hr,Active,Corner-Steerable Drive Unit-Gears Locked Up-Replace Component-2hr
FaultCode381,Corner,Steerable Drive Unit,Gears Locked Up-Replace Steering Gearbox-4hr,Active,Corner-Steerable Drive Unit-Gears Locked Up-Replace Steering Gearbox-4hr
FaultCode382,Corner,Steerable Drive Unit,Input Bearing Failed-Replace Steering Gearbox-4hr,Active,Corner-Steerable Drive Unit-Input Bearing Failed-Replace Steering Gearbox-4hr
FaultCode383,Corner,Steerable Drive Unit,Intermittent Operations-Replace Component-1hr,Active,Corner-Steerable Drive Unit-Intermittent Operations-Replace Component-1hr
FaultCode384,Corner,Steerable Drive Unit,Leads corroded/broken-Replace Component-1hr,Active,Corner-Steerable Drive Unit-Leads corroded/broken-Replace Component-1hr
FaultCode385,Corner,Steerable Drive Unit,Mis-manufactured-Repair Component-1hr,Active,Corner-Steerable Drive Unit-Mis-manufactured-Repair Component-1hr
FaultCode386,Corner,Steerable Drive Unit,Motor Using Excessive Current-Replace Component-1.5hr,Active,Corner-Steerable Drive Unit-Motor Using Excessive Current-Replace Component-1.5hr
FaultCode387,Corner,Steerable Drive Unit,No holes in shaft-Replace Component-1hr,Active,Corner-Steerable Drive Unit-No holes in shaft-Replace Component-1hr
FaultCode388,Corner,Steerable Drive Unit,Noise Excessive-Replace Component-1.5hr,Active,Corner-Steerable Drive Unit-Noise Excessive-Replace Component-1.5hr
FaultCode389,Corner,Steerable Drive Unit,Other -- Fill in Comments-Replace Component-1hr,Active,Corner-Steerable Drive Unit-Other - Fill in Comments-Replace Component-1hr
FaultCode390,Corner,Steerable Drive Unit,Output Bearing Failed-Replace Steering Gearbox-4hr,Active,Corner-Steerable Drive Unit-Output Bearing Failed-Replace Steering Gearbox-4hr
FaultCode391,Corner,Steerable Drive Unit,Output Seal Leaking-Replace Steering Gearbox-4hr,Active,Corner-Steerable Drive Unit-Output Seal Leaking-Replace Steering Gearbox-4hr
FaultCode392,Corner,Steerable Drive Unit,Output Seal Missing-Replace Steering Gearbox-4hr,Active,Corner-Steerable Drive Unit-Output Seal Missing-Replace Steering Gearbox-4hr
FaultCode393,Corner,Steerable Drive Unit,Output Shaft Broken-Replace Steering Gearbox-4hr,Active,Corner-Steerable Drive Unit-Output Shaft Broken-Replace Steering Gearbox-4hr
FaultCode394,Corner,Steerable Drive Unit,Part Dimensions Incorrect-Replace Component-1hr,Active,Corner-Steerable Drive Unit-Part Dimensions Incorrect-Replace Component-1hr
FaultCode395,Corner,Steerable Drive Unit,Phase Burned Both Ends-Replace Component-1.5hr,Active,Corner-Steerable Drive Unit-Phase Burned Both Ends-Replace Component-1.5hr
FaultCode396,Corner,Steerable Drive Unit,Phase Burned One End-Replace Component-1.5hr,Active,Corner-Steerable Drive Unit-Phase Burned One End-Replace Component-1.5hr
FaultCode397,Corner,Steerable Drive Unit,Phase To Ground Short-Replace Component-1.5hr,Active,Corner-Steerable Drive Unit-Phase To Ground Short-Replace Component-1.5hr
FaultCode398,Corner,Steerable Drive Unit,Phase To Phase Open-Replace Component-1.5hr,Active,Corner-Steerable Drive Unit-Phase To Phase Open-Replace Component-1.5hr
FaultCode399,Corner,Steerable Drive Unit,Phase To Phase Short-Replace Component-1.5hr,Active,Corner-Steerable Drive Unit-Phase To Phase Short-Replace Component-1.5hr
FaultCode400,Corner,Steerable Drive Unit,Seal Leaking-Replace Seal-0.75hr,Active,Corner-Steerable Drive Unit-Seal Leaking-Replace Seal-0.75hr
FaultCode401,Corner,Steerable Drive Unit,Seam Leaking-Replace Component-1.5hr,Active,Corner-Steerable Drive Unit-Seam Leaking-Replace Component-1.5hr
FaultCode402,Corner,Steerable Drive Unit,Shipment Damage-Replace Component-0hr,Active,Corner-Steerable Drive Unit-Shipment Damage-Replace Component-0hr
FaultCode403,Corner,Steerable Drive Unit,Snap Ring Failed-Replace Steering Gearbox-4hr,Active,Corner-Steerable Drive Unit-Snap Ring Failed-Replace Steering Gearbox-4hr
FaultCode404,Corner,Steerable Drive Unit,Steering arm loose-Replace Component-1hr,Active,Corner-Steerable Drive Unit-Steering arm loose-Replace Component-1hr
FaultCode405,Corner,Steerable Drive Unit,Steering Gearmotor Failed-Replace Gearmotor-2hr,Active,Corner-Steerable Drive Unit-Steering Gearmotor Failed-Replace Gearmotor-2hr
FaultCode406,Corner,Steerable Drive Unit,Steering Motor Failed-Replace Motor Module-1.5hr,Active,Corner-Steerable Drive Unit-Steering Motor Failed-Replace Motor Module-1.5hr
FaultCode407,Corner,Steerable Drive Unit,Thermal Protection Failure-Replace Component-1.5hr,Active,Corner-Steerable Drive Unit-Thermal Protection Failure-Replace Component-1.5hr
FaultCode408,Corner,Steerable Drive Unit,Tow Pin Failure-Replace Component-1hr,Active,Corner-Steerable Drive Unit-Tow Pin Failure-Replace Component-1hr
FaultCode409,Corner,Steerable Drive Unit,Ultraviolet Degradation-Replace Component-1hr,Active,Corner-Steerable Drive Unit-Ultraviolet Degradation-Replace Component-1hr
FaultCode410,Corner,Steerable Drive Unit,Weld Missing-Replace Component-1hr,Active,Corner-Steerable Drive Unit-Weld Missing-Replace Component-1hr
FaultCode411,Corner,Steerable Drive Unit,Weld Missing-Weld In Field-1hr,Active,Corner-Steerable Drive Unit-Weld Missing-Weld In Field-1hr
FaultCode412,Corner,Steerable Drive Unit,Worm Broken-Replace Component-3hr,Active,Corner-Steerable Drive Unit-Worm Broken-Replace Component-3hr
FaultCode413,Corner,Tubing Harnesses,Mis-manufactured-Replace Component-1hr,Active,Corner-Tubing Harnesses-Mis-manufactured-Replace Component-1hr
FaultCode414,Corner,Tubing Harnesses,Other -- Fill in Comments-Replace Component-1hr,Active,Corner-Tubing Harnesses-Other - Fill in Comments-Replace Component-1hr
FaultCode415,Corner,Tubing Harnesses,Shipment Damage-Replace Component-0hr,Active,Corner-Tubing Harnesses-Shipment Damage-Replace Component-0hr
FaultCode416,Drive Train,Center Drive Repair,Case Broken-Replace Gearmotor-1.5hr,Active,Drive Train-Center Drive Repair-Case Broken-Replace Gearmotor-1.5hr
FaultCode417,Drive Train,Center Drive Repair,Gears Locked Up-Replace Gearmotor-1.5hr,Active,Drive Train-Center Drive Repair-Gears Locked Up-Replace Gearmotor-1.5hr
FaultCode418,Drive Train,Center Drive Repair,Motor Using Excessive Current-Replace Gearmotor-1.5hr,Active,Drive Train-Center Drive Repair-Motor Using Excessive Current-Replace Gearmotor-1.5hr
FaultCode419,Drive Train,Center Drive Repair,Noise Excessive-Replace Gearmotor-1.5hr,Active,Drive Train-Center Drive Repair-Noise Excessive-Replace Gearmotor-1.5hr
FaultCode420,Drive Train,Center Drive Repair,Oil Reservoir Empty-Replace Component-1.5hr,Active,Drive Train-Center Drive Repair-Oil Reservoir Empty-Replace Component-1.5hr
FaultCode421,Drive Train,Center Drive Repair,Other -- Fill in Comments-Replace Component-1.5hr,Active,Drive Train-Center Drive Repair-Other - Fill in Comments-Replace Component-1.5hr
FaultCode422,Drive Train,Center Drive Repair,Seal Leaking-Replace Seal-0.75hr,Active,Drive Train-Center Drive Repair-Seal Leaking-Replace Seal-0.75hr
FaultCode423,Drive Train,Center Drive Repair,Seal Missing-Replace Component-1.5hr,Active,Drive Train-Center Drive Repair-Seal Missing-Replace Component-1.5hr
FaultCode424,Drive Train,Center Drive Repair,Seam Leaking-Replace Gearmotor-1.5hr,Active,Drive Train-Center Drive Repair-Seam Leaking-Replace Gearmotor-1.5hr
FaultCode425,Drive Train,Complete Center Drives,Case Broken-Replace Component-1.5hr,Active,Drive Train-Complete Center Drives-Case Broken-Replace Component-1.5hr
FaultCode426,Drive Train,Complete Center Drives,Charred Failure Both Ends-Replace Component-1.5hr,Active,Drive Train-Complete Center Drives-Charred Failure Both Ends-Replace Component-1.5hr
FaultCode427,Drive Train,Complete Center Drives,Charred Failure one end-Replace Component-1.5hr,Active,Drive Train-Complete Center Drives-Charred Failure one end-Replace Component-1.5hr
FaultCode428,Drive Train,Complete Center Drives,Gears Locked Up-Replace Component-1.5hr,Active,Drive Train-Complete Center Drives-Gears Locked Up-Replace Component-1.5hr
FaultCode429,Drive Train,Complete Center Drives,Motor Using Excessive Current-Replace Component-1.5hr,Active,Drive Train-Complete Center Drives-Motor Using Excessive Current-Replace Component-1.5hr
FaultCode430,Drive Train,Complete Center Drives,No holes in shaft-Replace Component-1hr,Active,Drive Train-Complete Center Drives-No holes in shaft-Replace Component-1hr
FaultCode431,Drive Train,Complete Center Drives,Noise Excessive-Replace Component-1.5hr,Active,Drive Train-Complete Center Drives-Noise Excessive-Replace Component-1.5hr
FaultCode432,Drive Train,Complete Center Drives,Oil Reservoir Empty-Replace Component-1.5hr,Active,Drive Train-Complete Center Drives-Oil Reservoir Empty-Replace Component-1.5hr
FaultCode433,Drive Train,Complete Center Drives,Other -- Fill in Comments-Replace Component-1.5hr,Active,Drive Train-Complete Center Drives-Other - Fill in Comments-Replace Component-1.5hr
FaultCode434,Drive Train,Complete Center Drives,Phase Burned Both Ends-Replace Component-1.5hr,Active,Drive Train-Complete Center Drives-Phase Burned Both Ends-Replace Component-1.5hr
FaultCode435,Drive Train,Complete Center Drives,Phase Burned One End-Replace Component-1.5hr,Active,Drive Train-Complete Center Drives-Phase Burned One End-Replace Component-1.5hr
FaultCode436,Drive Train,Complete Center Drives,Phase To Ground Short-Replace Component-1.5hr,Active,Drive Train-Complete Center Drives-Phase To Ground Short-Replace Component-1.5hr
FaultCode437,Drive Train,Complete Center Drives,Phase To Phase Open-Replace Component-1.5hr,Active,Drive Train-Complete Center Drives-Phase To Phase Open-Replace Component-1.5hr
FaultCode438,Drive Train,Complete Center Drives,Phase To Phase Resistance Unbalanced-Replace Component-1.5hr,Active,Drive Train-Complete Center Drives-Phase To Phase Resistance Unbalanced-Replace Component-1.5hr
FaultCode439,Drive Train,Complete Center Drives,Phase To Phase Short-Replace Component-1.5hr,Active,Drive Train-Complete Center Drives-Phase To Phase Short-Replace Component-1.5hr
FaultCode440,Drive Train,Complete Center Drives,Plastic End Cap Missing-Replace Component-1.5hr,Active,Drive Train-Complete Center Drives-Plastic End Cap Missing-Replace Component-1.5hr
FaultCode441,Drive Train,Complete Center Drives,Rotor Failed-Replace Component-1.5hr,Active,Drive Train-Complete Center Drives-Rotor Failed-Replace Component-1.5hr
FaultCode442,Drive Train,Complete Center Drives,Seal Leaking-Replace Component-1.5hr,Active,Drive Train-Complete Center Drives-Seal Leaking-Replace Component-1.5hr
FaultCode443,Drive Train,Complete Center Drives,Seal Leaking-Replace Seal-0.75hr,Active,Drive Train-Complete Center Drives-Seal Leaking-Replace Seal-0.75hr
FaultCode444,Drive Train,Complete Center Drives,Seal Missing-Replace Component-1.5hr,Active,Drive Train-Complete Center Drives-Seal Missing-Replace Component-1.5hr
FaultCode445,Drive Train,Complete Center Drives,Seam Leaking-Replace Component-1.5hr,Active,Drive Train-Complete Center Drives-Seam Leaking-Replace Component-1.5hr
FaultCode446,Drive Train,Complete Center Drives,Shipment Damage-Replace Component-0hr,Active,Drive Train-Complete Center Drives-Shipment Damage-Replace Component-0hr
FaultCode447,Drive Train,Complete Center Drives,Short In Junction Box-Replace Component-1.5hr,Active,Drive Train-Complete Center Drives-Short In Junction Box-Replace Component-1.5hr
FaultCode448,Drive Train,Complete Center Drives,Single Phasing-Replace Component-1.5hr,Active,Drive Train-Complete Center Drives-Single Phasing-Replace Component-1.5hr
FaultCode449,Drive Train,Complete Center Drives,Thermal Protection Failure-Replace Component-1.5hr,Active,Drive Train-Complete Center Drives-Thermal Protection Failure-Replace Component-1.5hr
FaultCode450,Drive Train,Complete Gearboxes,Bearing Race Missing-Repair Component-2hr,Active,Drive Train-Complete Gearboxes-Bearing Race Missing-Repair Component-2hr
FaultCode451,Drive Train,Complete Gearboxes,Bull Gear Broken-Replace Component-2hr,Active,Drive Train-Complete Gearboxes-Bull Gear Broken-Replace Component-2hr
FaultCode452,Drive Train,Complete Gearboxes,Case Broken-Replace Component-2hr,Active,Drive Train-Complete Gearboxes-Case Broken-Replace Component-2hr
FaultCode453,Drive Train,Complete Gearboxes,Coupling Failure-Replace Component-2hr,Active,Drive Train-Complete Gearboxes-Coupling Failure-Replace Component-2hr
FaultCode454,Drive Train,Complete Gearboxes,Gears Locked Up-Replace Component-2hr,Active,Drive Train-Complete Gearboxes-Gears Locked Up-Replace Component-2hr
FaultCode455,Drive Train,Complete Gearboxes,Input Bearing Failed-Replace Component-2hr,Active,Drive Train-Complete Gearboxes-Input Bearing Failed-Replace Component-2hr
FaultCode456,Drive Train,Complete Gearboxes,Input Seal Leaking-Replace Component-2hr,Active,Drive Train-Complete Gearboxes-Input Seal Leaking-Replace Component-2hr
FaultCode457,Drive Train,Complete Gearboxes,Input Seal Leaking-Rebuild Gearbox-3hr,Active,Drive Train-Complete Gearboxes-Input Seal Leaking-Rebuild Gearbox-3hr
FaultCode458,Drive Train,Complete Gearboxes,Input Shaft Broken-Replace Component-2hr,Active,Drive Train-Complete Gearboxes-Input Shaft Broken-Replace Component-2hr
FaultCode459,Drive Train,Complete Gearboxes,Lug Bolts Broken-Replace Component-2hr,Active,Drive Train-Complete Gearboxes-Lug Bolts Broken-Replace Component-2hr
FaultCode460,Drive Train,Complete Gearboxes,Mounting Bolts Broken-Replace Component-2hr,Active,Drive Train-Complete Gearboxes-Mounting Bolts Broken-Replace Component-2hr
FaultCode461,Drive Train,Complete Gearboxes,Oil Reservoir Empty-Replace Component-2hr,Active,Drive Train-Complete Gearboxes-Oil Reservoir Empty-Replace Component-2hr
FaultCode462,Drive Train,Complete Gearboxes,Other -- Fill in Comments-Replace Component-2hr,Active,Drive Train-Complete Gearboxes-Other - Fill in Comments-Replace Component-2hr
FaultCode463,Drive Train,Complete Gearboxes,Output Bearing Failed-Replace Component-2hr,Active,Drive Train-Complete Gearboxes-Output Bearing Failed-Replace Component-2hr
FaultCode464,Drive Train,Complete Gearboxes,Output Seal Leaking-Replace Component-2hr,Active,Drive Train-Complete Gearboxes-Output Seal Leaking-Replace Component-2hr
FaultCode465,Drive Train,Complete Gearboxes,Output Seal Leaking-Rebuild Gearbox-3hr,Active,Drive Train-Complete Gearboxes-Output Seal Leaking-Rebuild Gearbox-3hr
FaultCode466,Drive Train,Complete Gearboxes,Output Seal Missing-Repair Component-2hr,Active,Drive Train-Complete Gearboxes-Output Seal Missing-Repair Component-2hr
FaultCode467,Drive Train,Complete Gearboxes,Output Seal Missing-Replace Component-2hr,Active,Drive Train-Complete Gearboxes-Output Seal Missing-Replace Component-2hr
FaultCode468,Drive Train,Complete Gearboxes,Output Shaft Broken-Replace Component-2hr,Active,Drive Train-Complete Gearboxes-Output Shaft Broken-Replace Component-2hr
FaultCode469,Drive Train,Complete Gearboxes,Shipment Damage-Replace Component-0hr,Active,Drive Train-Complete Gearboxes-Shipment Damage-Replace Component-0hr
FaultCode470,Drive Train,Complete Gearboxes,Snap Ring Failed-Replace Component-2hr,Active,Drive Train-Complete Gearboxes-Snap Ring Failed-Replace Component-2hr
FaultCode471,Drive Train,Complete Gearboxes,Threads Missing-Replace Component-2hr,Active,Drive Train-Complete Gearboxes-Threads Missing-Replace Component-2hr
FaultCode472,Drive Train,Complete Gearboxes,Worm Broken-Replace Component-2hr,Active,Drive Train-Complete Gearboxes-Worm Broken-Replace Component-2hr
FaultCode473,Drive Train,Drive Shaft Shields,Aluminum Casting Failure-Replace Component-1hr,Active,Drive Train-Drive Shaft Shields-Aluminum Casting Failure-Replace Component-1hr
FaultCode474,Drive Train,Drive Shaft Shields,Flex Joint Insert Failure-Replace Component-0.25hr,Active,Drive Train-Drive Shaft Shields-Flex Joint Insert Failure-Replace Component-0.25hr
FaultCode475,Drive Train,Drive Shaft Shields,Mis-manufactured-Replace Component-0.25hr,Active,Drive Train-Drive Shaft Shields-Mis-manufactured-Replace Component-0.25hr
FaultCode476,Drive Train,Drive Shaft Shields,Other -- Fill in Comments-Replace Component-1hr,Active,Drive Train-Drive Shaft Shields-Other - Fill in Comments-Replace Component-1hr
FaultCode477,Drive Train,Drive Shaft Shields,Part Dimensions Incorrect-Replace Component-1hr,Active,Drive Train-Drive Shaft Shields-Part Dimensions Incorrect-Replace Component-1hr
FaultCode478,Drive Train,Drive Shaft Shields,Shipment Damage-Replace Component-0hr,Active,Drive Train-Drive Shaft Shields-Shipment Damage-Replace Component-0hr
FaultCode479,Drive Train,Drive Shaft Shields,Tow Pin Failure-Replace Component-1hr,Active,Drive Train-Drive Shaft Shields-Tow Pin Failure-Replace Component-1hr
FaultCode480,Drive Train,Drive Shaft Shields,Ultraviolet Degradation-Replace Component-1hr,Active,Drive Train-Drive Shaft Shields-Ultraviolet Degradation-Replace Component-1hr
FaultCode481,Drive Train,Drive Shafts,Aluminum Casting Failure-Replace Component-1hr,Active,Drive Train-Drive Shafts-Aluminum Casting Failure-Replace Component-1hr
FaultCode482,Drive Train,Drive Shafts,Bearing Race Missing-Replace Steering Gearbox-4hr,Active,Drive Train-Drive Shafts-Bearing Race Missing-Replace Steering Gearbox-4hr
FaultCode483,Drive Train,Drive Shafts,Bull Gear Broken-Replace Steering Gearbox-4hr,Active,Drive Train-Drive Shafts-Bull Gear Broken-Replace Steering Gearbox-4hr
